"rank_mu","rank_nu","mu_mean","nu_mean","mu_sim","nu_sim","ess_mean","rhat_max","time_sec","ess_per_sec"
68,62,0.2446600915139,0.069999006,0.00936350966912972,0.0385903290133028,18.6131943757034,1.00982303898156,50.8139564990997,0.366300828710969
59,52,0.80030367228825,0.0621626871,0.231236347452778,0.0395167214595086,15.5829472204622,1.04060236042088,56.2366287708282,0.277096041513527
170,173,0.109573765834974,0.023832072,0.265468060742805,0.040149159366395,31.0350819799813,0.996544475762536,72.2548093795776,0.429522716155046
63,51,1.77771890725,0.062380425,0.74997672414807,0.0409453676787293,15.1712586206022,1.16295777128905,52.9742791652679,0.286389146953209
0,0,0.0270946386034505,0.252534132,4.21636441160661e-13,0.0426921514817012,42.6720633271405,0.995921270664407,28.4674127101898,1.49897933337181
141,85,21.39828255,0.0440956285,24.1996357878458,0.0427804435235994,23.7023411179311,1.05366339916422,75.6535539627075,0.313301092630953
183,171,16.13825275,0.0329677565,21.8176857613905,0.042806477523881,29.6006159472984,1.00375065966509,93.4865279197693,0.316629749825577
0,0,0.023644836915389,0.52689878,7.11575815393909e-26,0.0434968085524166,14.0910292226504,1.05149908530911,24.1092891693115,0.584464731568556
0,0,0.093412286258494,0.4066680715,1.85665108497029e-14,0.0436136718925082,14.3029964841337,1.05226239233727,30.1676955223083,0.474116310062761
0,0,0.0477247109945163,0.265278193,1.24986011407294e-11,0.0437750612801552,15.0174782483941,1.20272737587641,31.9042103290558,0.47070521707028
11,16,0.00365992162279861,0.110698806,3.2574106518747e-10,0.0443287477930326,26.7520812619481,1.01544554824777,32.1023850440979,0.833336252904564
47,52,0.0436548175262833,0.0834361605,3.12121572427514e-05,0.0445959330193074,10.4275644251481,1.17556214309124,38.6882407665253,0.269528006922726
1,0,0.0841740749054465,0.2192069175,3.92231842148169e-08,0.0449251044587143,17.1539227961579,1.07903732339814,33.5511033535004,0.511277456822245
16,10,0.0585561834381539,0.162563736,3.98898823802754e-06,0.045045196042891,15.3752330278277,1.0232078284585,34.8052952289581,0.441749823602571
122,192,75.4242345,0.034904429,76.4204808075564,0.0454179417296667,103.908734153813,1.01262904847354,115.445329427719,0.900068756951064
26,37,0.0400559849620905,0.0929758275,1.16154246637589e-05,0.0456491942551275,1.65140659387775,1.82903230068077,39.6340484619141,0.0416663615745601
4,5,0.119973986744609,0.27218002,1.48942200502159e-09,0.0457412037164108,2.40484175186458,1.37995127442971,32.491269826889,0.0740150127919711
46,45,0.367298234870178,0.1527568235,0.00132023784306696,0.0481599169803182,1.64614055023159,1.76940861847718,40.943202495575,0.0402054663508429
0,7,15.3696504,0.0874571905,7.18797755190989,0.048350439670613,71.0825863895684,1.00292128969064,44.3616147041321,1.60234443366525
200,199,0.889708505889379,0.0228826385,4.19819813986992,0.0501240129750429,22.6407449502568,1.06278790805706,106.580605983734,0.212428375137144
68,67,0.0148693584317251,0.105912848,9.15069921027628e-08,0.0509085209617262,26.6480202450727,1.00647394242153,33.1808488368988,0.803114482575827
44,34,10.6820259,0.070563959,8.92685387320726,0.0517335164137579,51.572544652283,0.999075833874143,49.3356997966766,1.04533927490286
153,135,0.608135669934345,0.0458832503,1.02341122400744,0.0517640317281882,24.0364511581595,1.02173101712832,71.3816199302673,0.336731656995746
8,7,0.0248454895373448,0.23789507,3.86873371416607e-11,0.051916693480022,15.8117428860436,1.10055236447739,30.4690299034119,0.518944742782016
46,76,3.63240141263,0.0629718204,2.30441747223767,0.0520920138637967,16.5639997795753,1.02039775411274,62.2495057582855,0.266090462531433
34,29,1.23996388435,0.0928016355,0.353171103320962,0.0524976884062154,45.203679442353,1.01622966408308,49.7452540397644,0.908703359042432
0,0,0.0316694663484915,0.562825065,4.48842253339597e-16,0.0528518716124539,8.29865496401631,1.16480085575775,25.9827415943146,0.319391044008696
2,2,0.106668397351062,0.3125225615,3.35436470557599e-09,0.0538192352678777,10.5044651770006,1.09449683896015,31.527973651886,0.333179204378465
6,3,0.14355324127034,0.3247708705,8.71730559390885e-07,0.054988731594962,1.6913444437728,1.67371736196608,30.9274787902832,0.0546874336327793
72,78,0.0959408140344227,0.078831252,0.00307375548171899,0.0552024570156505,2.9375405301582,1.30766770342786,42.7783689498901,0.0686688296507794
69,86,0.54502529445795,0.073550179,0.108576138395384,0.057169570558619,3.60876676021142,1.22662862751234,51.2056941986084,0.0704758878224425
1,1,0.4769312614,0.232468465,0.00169396515455861,0.0575383822178005,3.6326913090659,1.26267451113753,35.7596130371094,0.101586426712618
6,5,0.240802539439068,0.243872849,0.000290752089836047,0.0577128604869669,7.72453501700041,1.12229316893166,36.2346403598785,0.213180948956059
2,13,0.0518679017678268,0.164857353,4.62362137506741e-07,0.0578399315692314,30.659120979531,1.02894908054328,34.5584919452667,0.887166055396413
95,100,0.62759298795,0.0671156995,0.350450771482064,0.0589873504099589,4.17449558299863,1.20921880100274,50.6912748813629,0.0823513630850389
0,0,0.0166219890844193,0.4831047,6.90084732962201e-21,0.0593017800960505,8.31031511372287,1.14207531094531,21.7931272983551,0.381327333151957
80,90,0.19008688727632,0.077515492,0.0200512796960102,0.0596161369750845,21.2876673515846,1.00381952367042,44.9917397499084,0.473146125709174
150,36,159.390475,0.069607505,162.816952566928,0.0596618139136032,162.244528512102,0.999121953736968,103.495808362961,1.56764347347391
132,161,0.115682127293725,0.03829094215,0.0672204589057342,0.0597261589871731,27.2933216130748,1.00065845044447,56.2310764789581,0.485377896389518
22,24,8.4466565,0.083817552,6.26996843657528,0.0598225314183717,36.6429689726623,1.00633135544682,40.9448053836823,0.894935722109103
35,42,0.73312821245,0.1419706015,0.0459432693003648,0.0599601947372285,2.67335236365533,1.3701931741645,45.5216228961945,0.0587270882180877
27,31,0.051702127562138,0.137540204,1.69447660792706e-05,0.0606521497584216,3.76141637180381,1.22529331318207,33.3754663467407,0.112700039386
148,133,0.0137706796736788,0.05528712505,0.00371470545244437,0.0616820407519259,22.8979087508443,1.04882014791995,39.1195652484894,0.5853313707705
0,0,0.0182952634629985,0.301083305,2.45300855408408e-13,0.0626620986178663,24.40704549605,0.996876504500974,27.9269464015961,0.873960408885059
137,125,0.00189820110558327,0.0549992765,0.000210574575515229,0.0627894913874183,24.5369807785628,1.03238958058816,36.9830965995789,0.663464745643885
56,48,0.0338173091231781,0.121596044,0.000363527185224072,0.0630433950319346,24.9397321500205,1.00619694361793,33.8016052246094,0.737826857165442
23,21,0.4742047985,0.1117883155,0.0603038656493701,0.0632824926115786,26.1759417548557,1.09995652046928,41.8919425010681,0.624844306376776
89,85,0.0185737588145928,0.077972216,0.000681374859266105,0.0639612408654446,11.31396955368,1.10793219878812,36.6432385444641,0.308760087893194
74,114,58.574316,0.0625644975,57.3248804701382,0.0647602276988143,69.8657532633246,1.01174969635632,65.5714132785797,1.06549103900659
94,93,3.36260019026005,0.0658714212,3.51871538837257,0.0654561585155824,5.95404388249117,1.20620812844532,51.3260452747345,0.116004337575996
197,147,43.884461,0.0591993745,51.5893463402034,0.066149428959404,105.031457837446,0.999036567765467,62.6486012935638,1.67651720339743
