"rank_mu","rank_nu","mu_mean","nu_mean","mu_sim","nu_sim","ess_mean","rhat_max","time_sec","ess_per_sec"
3,19,0.098765444455,0.124572007,0.000366738459388968,0.0618809048323499,33.9268012236088,1.07595784716112,14.6191596984863,2.3207080244921
34,45,0.300088442655,0.106046538,0.0269899917872869,0.0625035955540847,21.0560861624715,1.059106445961,16.7725481987,1.25538981394035
200,200,2.866081415,0.00394870735,66.976930161972,0.0651465963324674,72.4367903848996,1.04458935484071,232.890478372574,0.311033713748557
0,0,0.2858509065,0.62336372,4.0750730729609e-07,0.0665495975811394,32.1278499139061,1.00050696575432,10.5380711555481,3.04874103046755
0,0,0.2511295425,0.207049863,0.000880092552682755,0.0668504918062353,25.0910444030725,1.04694546027607,14.4522449970245,1.73613472565946
200,200,3.922262975,0.01166962685,26.059401192314,0.0683569668014704,20.0853203528307,1.00357068445162,111.234825372696,0.180566834941613
0,0,0.1282009506,0.328212731,2.11266040837484e-06,0.0699098180217691,4.0480989424393,1.25242649407495,11.1812772750854,0.362042622040993
0,0,0.2728685615,0.22412854,0.00126139095308053,0.0704470434011632,46.6213303981304,1.0233393692723,12.5958368778229,3.70132853023964
0,0,0.259746355525,0.367732885,4.23723214763581e-05,0.0704621275195208,32.8237457382874,1.08171663537352,11.9358587265015,2.75001124681613
0,0,0.31768951695,0.1982586685,0.00151234262264442,0.0710074567643117,52.1195451839924,1.00781212490294,14.4841649532318,3.59838108391351
0,0,0.16516556635,0.84535444,5.61757453098765e-10,0.072404428563148,31.4919639984658,1.0144461904688,10.5644629001617,2.98093374893519
6,9,1.033624325,0.14190092,0.195941780824704,0.0754235040088585,34.7416243365658,1.07306214832255,17.3559093475342,2.00171731949624
0,0,0.2402410155,2.526445445,2.1569102634888e-17,0.076191387353749,49.921516708768,1.02861580059571,9.06440997123718,5.50742043521607
200,200,2.7770606205,0.02212004255,12.985915280563,0.0763196259759222,63.2392726651106,1.02841789285875,64.1420078277588,0.985925991511331
9,5,0.20540270495,0.167823176,0.0103480038990117,0.0777281687680527,37.3092684958743,0.997872965457167,13.8399934768677,2.69575766478745
11,10,0.2514014169,0.159842562,0.0178446498853955,0.0777529058648377,46.175262859072,1.02711481285152,15.2368559837341,3.03049808361815
1,5,0.1451639179,0.1598834915,0.00347300503624646,0.0799096069990156,34.670146462418,1.043206475742,13.3832359313965,2.59056528930222
110,128,0.28326252452,0.075885405,0.229725655207328,0.0814363728096013,59.8777659320748,0.997298354704917,20.2733130455017,2.95352643140686
14,15,0.1764678565,0.1382547665,0.0075170649800296,0.0816100282577939,37.0183446997388,1.03645996008715,14.6880698204041,2.52030015872572
199,197,4.54536414,0.034882292,12.2863645189275,0.0825645252190874,26.246278266306,1.05617653343203,54.7278380393982,0.479578203827666
200,200,2.885085385,0.001480873205,164.825965799793,0.0846407936866597,87.4388307738074,1.01056145627158,439.696323156357,0.198861864811896
22,26,3.28434197,0.141627766,1.70087542480269,0.0849209147534597,30.4832652214746,1.03418464447507,20.9897773265839,1.45229102468215
0,0,0.289699228,0.243694833,0.00669626031280087,0.0858751561677036,60.6890207373074,1.01036785774357,12.3861970901489,4.8997299409659
0,0,0.3228956504,1.50758496,1.92644238613979e-10,0.0863722080630543,34.4776537147592,1.12929377630116,10.2316491603851,3.36970640551766
0,0,0.0899663379275,0.55359047,9.78029019585919e-08,0.0880815714823531,5.58115556229385,1.16300480416125,10.4744453430176,0.532835427511618
80,112,0.4846516115,0.092769719,0.304182062835313,0.0882921966724781,38.3947430016678,1.01989439561281,19.7443542480469,1.94459350350573
63,78,0.32161176885,0.1077511465,0.137736110565369,0.0893965562433365,59.3071968835479,1.0235619297219,16.5186374187469,3.59032015656693
0,0,0.1287507958,0.524203905,2.44476997449184e-07,0.0898937961759853,25.3593688591824,1.01141916215176,10.1976752281189,2.48677941706331
133,151,1.045360223145,0.073676566,1.28608734999362,0.0916727996948621,22.5306100048214,1.06733240784046,24.3206479549408,0.926398426824982
194,172,1.6213745615,0.067949515,3.64731077278923,0.0938062547552431,68.0492929202104,0.999234744448745,26.1964638233185,2.59765185786782
